snak	n	cum	cump
Q2306091	1	6564	0.9891500904159132
Q23656820	1	6565	0.9893007836045811
Q24262584	1	6566	0.989451476793249
Q247797	1	6567	0.9896021699819169
Q25393460	1	6568	0.9897528631705846
Q264323	1	6569	0.9899035563592525
Q267640	1	6570	0.9900542495479204
Q270141	1	6571	0.9902049427365883
Q2732142	1	6572	0.9903556359252562
Q27497422	1	6573	0.990506329113924
Q27532437	1	6574	0.9906570223025919
Q28004591	1	6575	0.9908077154912598
Q28319434	1	6576	0.9909584086799277
Q28789517	1	6577	0.9911091018685956
Q2919046	1	6578	0.9912597950572634
Q29887242	1	6579	0.9914104882459313
Q29958026	1	6580	0.9915611814345991
Q3242115	1	6581	0.991711874623267
Q329439	1	6582	0.9918625678119349
Q3391743	1	6583	0.9920132610006027
Q34463094	1	6584	0.9921639541892706
Q3486937	1	6585	0.9923146473779385
Q3546255	1	6586	0.9924653405666064
Q37987929	1	6587	0.9926160337552743
Q38239859	1	6588	0.9927667269439421
Q384593	1	6589	0.99291742013261
Q392651	1	6590	0.9930681133212779
Q4070300	1	6591	0.9932188065099458
Q43667189	1	6592	0.9933694996986137
Q4379628	1	6593	0.9935201928872816
Q4504549	1	6594	0.9936708860759493
Q462390	1	6595	0.9938215792646172
Q47090899	1	6596	0.9939722724532851
Q47462924	1	6597	0.994122965641953
Q47529145	1	6598	0.9942736588306209
Q486748	1	6599	0.9944243520192887
Q487596	1	6600	0.9945750452079566
Q50418136	1	6601	0.9947257383966245
Q5371902	1	6602	0.9948764315852924
Q5428874	1	6603	0.9950271247739603
Q548320	1	6604	0.995177817962628
Q55235315	1	6605	0.995328511151296
Q55630100	1	6606	0.9954792043399638
Q579021	1	6607	0.9956298975286317
Q589298	1	6608	0.9957805907172996
Q600751	1	6609	0.9959312839059674
Q60244908	1	6610	0.9960819770946353
Q6051619	1	6611	0.9962326702833032
Q61820542	1	6612	0.9963833634719711
Q635734	1	6613	0.996534056660639
Q63865107	1	6614	0.9966847498493068
Q639669	1	6615	0.9968354430379747
Q641208	1	6616	0.9969861362266426
Q66310338	1	6617	0.9971368294153105
Q694116	1	6618	0.9972875226039783
Q7313543	1	6619	0.9974382157926461
Q733786	1	6620	0.997588908981314
Q744738	1	6621	0.9977396021699819
Q765778	1	6622	0.9978902953586498
Q783906	1	6623	0.9980409885473177
Q7888586	1	6624	0.9981916817359855
Q80687	1	6625	0.9983423749246534
Q822146	1	6626	0.9984930681133213
Q829064	1	6627	0.9986437613019892
Q852389	1	6628	0.9987944544906571
Q860918	1	6629	0.9989451476793249
Q864380	1	6630	0.9990958408679927
Q876864	1	6631	0.9992465340566606
Q93469866	1	6632	0.9993972272453285
Q947873	1	6633	0.9995479204339964
Q955464	1	6634	0.9996986136226642
Q96061710	1	6635	0.9998493068113321
Q96244884	1	6636	1
