snak	n	cum	cump
Q548320	2	14306	0.981947971720777
Q55982999	2	14308	0.9820852495023681
Q5669847	2	14310	0.9822225272839591
Q589298	2	14312	0.9823598050655501
Q60244908	2	14314	0.9824970828471412
Q60441566	2	14316	0.9826343606287322
Q639669	2	14318	0.9827716384103233
Q6606110	2	14320	0.9829089161919143
Q66711686	2	14322	0.9830461939735053
Q720362	2	14324	0.9831834717550965
Q7234072	2	14326	0.9833207495366875
Q7888586	2	14328	0.9834580273182786
Q811620	2	14330	0.9835953050998696
Q8246794	2	14332	0.9837325828814606
Q82594	2	14334	0.9838698606630517
Q88106941	2	14336	0.9840071384446427
Q897317	2	14338	0.9841444162262338
Q911554	2	14340	0.9842816940078248
Q101419594	1	14341	0.9843503328986204
Q1021671	1	14342	0.9844189717894158
Q1039099	1	14343	0.9844876106802114
Q104415906	1	14344	0.984556249571007
Q104629540	1	14345	0.9846248884618024
Q104680	1	14346	0.984693527352598
Q105756071	1	14347	0.9847621662433935
Q10655125	1	14348	0.9848308051341891
Q10655178	1	14349	0.9848994440249845
Q10694573	1	14350	0.9849680829157801
Q10728636	1	14351	0.9850367218065756
Q108300820	1	14352	0.9851053606973711
Q108439375	1	14353	0.9851739995881666
Q108614246	1	14354	0.9852426384789622
Q10866633	1	14355	0.9853112773697577
Q1104153	1	14356	0.9853799162605532
Q110464255	1	14357	0.9854485551513488
Q11051391	1	14358	0.9855171940421443
Q110853168	1	14359	0.9855858329329398
Q110861666	1	14360	0.9856544718237353
Q1114448	1	14361	0.9857231107145309
Q112234369	1	14362	0.9857917496053263
Q1125292	1	14363	0.9858603884961219
Q1131236	1	14364	0.9859290273869175
Q113445820	1	14365	0.9859976662777129
Q113623892	1	14366	0.9860663051685085
Q1138244	1	14367	0.986134944059304
Q114321034	1	14368	0.9862035829500996
Q11494960	1	14369	0.986272221840895
Q11513337	1	14370	0.9863408607316906
Q116	1	14371	0.9864094996224861
Q11710359	1	14372	0.9864781385132816
Q11774202	1	14373	0.9865467774040771
Q1181984	1	14374	0.9866154162948727
Q11971378	1	14375	0.9866840551856682
Q12020057	1	14376	0.9867526940764637
Q12144794	1	14377	0.9868213329672593
Q1229025	1	14378	0.9868899718580548
Q12360779	1	14379	0.9869586107488503
Q12794619	1	14380	0.9870272496396458
Q1327627	1	14381	0.9870958885304414
Q13381572	1	14382	0.9871645274212368
Q13382608	1	14383	0.9872331663120324
Q1350189	1	14384	0.987301805202828
Q13570226	1	14385	0.9873704440936234
Q13590141	1	14386	0.987439082984419
Q13636225	1	14387	0.9875077218752145
Q1397808	1	14388	0.9875763607660101
Q14009165	1	14389	0.9876449996568055
Q1402736	1	14390	0.9877136385476011
Q1424605	1	14391	0.9877822774383966
Q1437754	1	14392	0.9878509163291921
Q1454940	1	14393	0.9879195552199876
Q1459149	1	14394	0.9879881941107832
Q1475726	1	14395	0.9880568330015786
Q1479935	1	14396	0.9881254718923742
Q1483709	1	14397	0.9881941107831698
Q14906342	1	14398	0.9882627496739653
Q1491183	1	14399	0.9883313885647608
Q14915627	1	14400	0.9884000274555563
Q152355	1	14401	0.9884686663463519
Q154549	1	14402	0.9885373052371473
Q15462162	1	14403	0.9886059441279429
Q155647	1	14404	0.9886745830187385
Q1558050	1	14405	0.9887432219095339
Q15634281	1	14406	0.9888118608003295
Q156839	1	14407	0.988880499691125
Q157798	1	14408	0.9889491385819205
Q15839206	1	14409	0.989017777472716
Q15972912	1	14410	0.9890864163635116
Q15991218	1	14411	0.9891550552543071
Q16037036	1	14412	0.9892236941451026
Q16101735	1	14413	0.9892923330358981
Q161944	1	14414	0.9893609719266937
Q1627196	1	14415	0.9894296108174891
Q16308156	1	14416	0.9894982497082847
Q16323111	1	14417	0.9895668885990803
Q1657500	1	14418	0.9896355274898757
Q16742096	1	14419	0.9897041663806713
Q16825962	1	14420	0.9897728052714668
Q1690874	1	14421	0.9898414441622624
Q1718016	1	14422	0.9899100830530578
Q1731155	1	14423	0.9899787219438534
Q17351648	1	14424	0.990047360834649
Q174592	1	14425	0.9901159997254444
Q17488392	1	14426	0.99018463861624
Q1751254	1	14427	0.9902532775070355
Q18120029	1	14428	0.990321916397831
Q1815782	1	14429	0.9903905552886265
Q18242306	1	14430	0.9904591941794221
Q18342390	1	14431	0.9905278330702176
Q1840507	1	14432	0.9905964719610131
Q188958	1	14433	0.9906651108518086
Q189010	1	14434	0.9907337497426042
Q1897112	1	14435	0.9908023886333996
Q19356916	1	14436	0.9908710275241952
Q1958649	1	14437	0.9909396664149908
Q1979607	1	14438	0.9910083053057862
Q19798999	1	14439	0.9910769441965818
Q205375	1	14440	0.9911455830873773
Q2066131	1	14441	0.9912142219781729
Q207978	1	14442	0.9912828608689683
Q20857490	1	14443	0.9913514997597639
Q208762	1	14444	0.9914201386505594
Q2088877	1	14445	0.9914887775413549
Q2095549	1	14446	0.9915574164321505
Q21141408	1	14447	0.991626055322946
Q21272406	1	14448	0.9916946942137415
Q2135538	1	14449	0.991763333104537
Q21484199	1	14450	0.9918319719953326
Q214917	1	14451	0.9919006108861281
Q21546358	1	14452	0.9919692497769236
Q21591523	1	14453	0.9920378886677191
Q2180295	1	14454	0.9921065275585147
Q219184	1	14455	0.9921751664493101
Q222344	1	14456	0.9922438053401057
Q2248623	1	14457	0.9923124442309013
Q23498	1	14458	0.9923810831216967
Q2405480	1	14459	0.9924497220124923
Q24262584	1	14460	0.9925183609032878
Q2443377	1	14461	0.9925869997940834
Q2447386	1	14462	0.9926556386848788
Q2478141	1	14463	0.9927242775756744
Q2490358	1	14464	0.9927929164664699
Q2504617	1	14465	0.9928615553572654
Q25051941	1	14466	0.992930194248061
Q25393460	1	14467	0.9929988331388565
Q264323	1	14468	0.993067472029652
Q267640	1	14469	0.9931361109204475
Q26848923	1	14470	0.9932047498112431
Q26936818	1	14471	0.9932733887020386
Q270141	1	14472	0.9933420275928341
Q27214348	1	14473	0.9934106664836296
Q2730732	1	14474	0.9934793053744252
Q27496075	1	14475	0.9935479442652206
Q2775569	1	14476	0.9936165831560162
Q2800373	1	14477	0.9936852220468118
Q28136886	1	14478	0.9937538609376072
Q28389	1	14479	0.9938224998284028
Q28466165	1	14480	0.9938911387191983
Q2855502	1	14481	0.9939597776099939
Q29169143	1	14482	0.9940284165007893
Q2930613	1	14483	0.9940970553915849
Q2957754	1	14484	0.9941656942823804
Q2961975	1	14485	0.9942343331731759
Q3029404	1	14486	0.9943029720639714
Q3029407	1	14487	0.994371610954767
Q326653	1	14488	0.9944402498455625
Q33083143	1	14489	0.994508888736358
Q3315492	1	14490	0.9945775276271536
Q3406827	1	14491	0.994646166517949
Q3406834	1	14492	0.9947148054087446
Q3408848	1	14493	0.9947834442995401
Q3409375	1	14494	0.9948520831903357
Q34463094	1	14495	0.9949207220811311
Q35535	1	14496	0.9949893609719267
Q3756713	1	14497	0.9950579998627223
Q37987929	1	14498	0.9951266387535177
Q382617	1	14499	0.9951952776443133
Q384593	1	14500	0.9952639165351088
Q388338	1	14501	0.9953325554259043
Q392651	1	14502	0.9954011943166998
Q4070300	1	14503	0.9954698332074954
Q41493761	1	14504	0.9955384720982909
Q41583	1	14505	0.9956071109890864
Q418	1	14506	0.9956757498798819
Q42331263	1	14507	0.9957443887706775
Q42510715	1	14508	0.995813027661473
Q42909	1	14509	0.9958816665522685
Q4459623	1	14510	0.9959503054430641
Q45023940	1	14511	0.9960189443338595
Q45052431	1	14512	0.9960875832246551
Q4588801	1	14513	0.9961562221154506
Q46540766	1	14514	0.9962248610062462
Q46926120	1	14515	0.9962934998970416
