snak	n	cum	cump
Q2732142	5	25780	0.9641347843973223
Q2904006	5	25785	0.9643217771794009
Q3029418	5	25790	0.9645087699614795
Q33999	5	25795	0.9646957627435581
Q38126150	5	25800	0.9648827555256367
Q47825396	5	25805	0.9650697483077153
Q5322166	5	25810	0.965256741089794
Q6051619	5	25815	0.9654437338718725
Q685433	5	25820	0.9656307266539511
Q76928813	5	25825	0.9658177194360298
Q783906	5	25830	0.9660047122181084
Q7940086	5	25835	0.966191705000187
Q96244884	5	25840	0.9663786977822656
Q10295465	4	25844	0.9665282920079284
Q10547393	4	25848	0.9666778862335914
Q1131236	4	25852	0.9668274804592543
Q11569986	4	25856	0.9669770746849171
Q11774202	4	25860	0.9671266689105801
Q12013238	4	25864	0.9672762631362429
Q132050	4	25868	0.9674258573619058
Q1326886	4	25872	0.9675754515875687
Q1414443	4	25876	0.9677250458132316
Q1479935	4	25880	0.9678746400388945
Q1483709	4	25884	0.9680242342645574
Q1569495	4	25888	0.9681738284902203
Q15924224	4	25892	0.9683234227158831
Q1731155	4	25896	0.9684730169415461
Q179985	4	25900	0.9686226111672089
Q1906857	4	25904	0.9687722053928718
Q1958649	4	25908	0.9689217996185348
Q2020172	4	25912	0.9690713938441976
Q2024200	4	25916	0.9692209880698605
Q2095549	4	25920	0.9693705822955234
Q2306091	4	25924	0.9695201765211863
Q27645484	4	25928	0.9696697707468491
Q27645949	4	25932	0.9698193649725121
Q28692502	4	25936	0.9699689591981749
Q2961975	4	25940	0.9701185534238378
Q3075052	4	25944	0.9702681476495008
Q326653	4	25948	0.9704177418751636
Q3315492	4	25952	0.9705673361008265
Q3409375	4	25956	0.9707169303264894
Q372436	4	25960	0.9708665245521523
Q384593	4	25964	0.9710161187778151
Q38687772	4	25968	0.9711657130034781
Q4182927	4	25972	0.971315307229141
Q42308474	4	25976	0.9714649014548038
Q55630100	4	25980	0.9716144956804668
Q635734	4	25984	0.9717640899061296
Q7234072	4	25988	0.9719136841317925
Q88106009	4	25992	0.9720632783574554
Q897317	4	25996	0.9722128725831183
Q104415906	3	25999	0.9723250682523654
Q1114448	3	26002	0.9724372639216127
Q12020057	3	26005	0.9725494595908598
Q12038843	3	26008	0.972661655260107
Q12094958	3	26011	0.9727738509293541
Q14089670	3	26014	0.9728860465986013
Q15255771	3	26017	0.9729982422678485
Q1558050	3	26020	0.9731104379370956
Q15623737	3	26023	0.9732226336063428
Q15634281	3	26026	0.97333482927559
Q15977927	3	26029	0.9734470249448371
